"","ENSG00000018625.15","ENSG00000034971.17","ENSG00000077157.22","ENSG00000077616.11","ENSG00000104415.14","ENSG00000123500.10","ENSG00000133800.9","ENSG00000145321.13","ENSG00000162494.6","ENSG00000163815.6","ENSG00000167434.10","ENSG00000171819.5","ENSG00000182492.16","ENSG00000185271.9","ENSG00000198848.13","ENSG00000226005.5","ENSG00000228162.1","ENSG00000228222.1","ENSG00000228868.3","ENSG00000229558.2","ENSG00000234648.1","ENSG00000244734.4","ENSG00000250572.1","ENSG00000251325.1","ENSG00000257766.1","ENSG00000260102.2","ENSG00000263709.1","ENSG00000266964.6","ENSG00000267603.1","ENSG00000277954.1","ENSG00000282840.1","ENSG00000286523.1","ENSG00000287666.1","group"
"TCGA-BH-A18J-11A-31R-A12D-07",12.3489650256216,7.61661051220667,13.7189604718814,7.96532084213601,6.26172433739331,5.65685147557139,10.8321934279728,3.3071450089029,4.57502776396938,10.581251668274,10.1632419147258,8.95011809050445,12.1221102456083,6.61416503271973,12.7072018156527,7.43384884038182,5.621770550004,3.3071450089029,4.80377678827489,6.40946074197939,7.91043731911461,10.7929698371087,3.3071450089029,3.3071450089029,3.3071450089029,4.00019452248974,5.8500266434386,5.34595253298417,5.30128427445324,6.8380166132911,5.58573960276934,3.3071450089029,5.10485801491743,"Normal"
"TCGA-A2-A0YL-01A-21R-A109-07",7.61203852131192,3.71912216552178,12.1848336648332,6.75864059941559,11.3039894904079,12.5930995703412,7.398663285517,3.3071450089029,3.3071450089029,7.506084889252,7.86982990639122,5.15970893541657,15.0895183591574,5.60475417881163,8.41495182789672,5.41592928270342,6.41419502530083,3.71912216552178,3.71912216552178,4.12298746854156,7.40561822983958,7.4262827904375,3.3071450089029,3.3071450089029,4.12298746854156,3.3071450089029,3.3071450089029,3.71912216552178,3.71912216552178,6.03191805090588,4.63120525544648,3.3071450089029,3.71912216552178,"Tumor"
"TCGA-C8-A12P-01A-11R-A115-07",5.69360862592254,3.79196974044372,11.2196707309343,5.44282202531661,11.5506520864495,14.6483042466974,6.81482011120021,3.3071450089029,3.98963967480481,6.7853719908104,3.79196974044372,7.60970393745247,16.1262727331673,4.63728324124729,7.72987092932552,4.55650789991654,3.3071450089029,3.3071450089029,3.79196974044372,3.3071450089029,6.15903846791345,6.27057783704858,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.98963967480481,3.3071450089029,5.59188726219605,4.46868694144526,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-AO-A0JA-01A-11R-A056-07",7.317789783449,4.18950190177114,11.6188058148049,5.76220130732202,12.1125090959709,14.7664855582758,6.52756912347786,3.3071450089029,3.75345000191897,7.48914033831534,4.79283847856791,4.46162061020035,15.9252267830294,4.79283847856791,9.11706649598337,4.28998126416968,4.28998126416968,3.3071450089029,3.3071450089029,3.75345000191897,6.69811039903159,9.62086709461207,3.93584875443739,3.3071450089029,3.3071450089029,3.75345000191897,3.3071450089029,3.3071450089029,3.3071450089029,6.26236432733711,4.79283847856791,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-EW-A1OV-01A-11R-A144-07",5.17120423266594,4.21621047955758,11.4935039857151,5.69351231401878,10.3568465705937,9.32438622371302,6.68349755959601,3.3071450089029,4.05338738757409,7.91547773417619,4.75481806772253,3.3071450089029,15.3640203693996,5.5704820769805,6.94547742501423,3.3071450089029,3.83772508758977,3.3071450089029,3.3071450089029,3.3071450089029,8.26614135541553,6.28751420178184,3.3071450089029,3.83772508758977,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,5.22850014295213,3.3071450089029,3.3071450089029,3.83772508758977,"Tumor"
"TCGA-5L-AAT0-01A-12R-A41B-07",6.50511026824432,3.86005541634189,11.2311676228138,6.50511026824432,11.8133584967918,14.2876836814442,5.60554368955257,3.3071450089029,3.3071450089029,7.71871872950177,4.9723358507488,5.04516183752559,16.2005077710538,4.81151228526164,8.82100711618005,4.89472276319974,4.2536206812375,3.3071450089029,3.86005541634189,4.08443703983827,6.30184429693359,10.4976587520124,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,5.89125094445346,4.39387090293132,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-BH-A18J-01A-11R-A12D-07",4.65496287367138,3.3071450089029,11.722157884541,5.30774906591971,11.6880524516289,14.4264021321423,6.40203180799847,3.3071450089029,3.9272829871829,6.75534057394332,4.06381393713785,4.36564205692285,15.7511271338723,4.446434341773,10.4110206599966,3.9272829871829,3.3071450089029,3.3071450089029,3.3071450089029,3.74732313726193,7.52060336420987,5.83492682500364,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,6.13761907201572,4.36564205692285,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-D8-A27V-01A-12R-A17B-07",7.64687559784925,4.58654335163708,12.0012301984427,6.9698803160154,11.9558895436266,11.2867159066948,6.05547203625537,3.3071450089029,4.19594020692158,7.38448157209857,6.01811156991751,7.29538501818947,15.5658330697142,5.16583751084987,6.30241724435656,3.3071450089029,3.89418497753918,3.64762502959241,3.3071450089029,3.78755206079887,9.04907219575343,7.29538501818947,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,4.45854013346126,3.64762502959241,4.98437730750344,4.25525083481288,3.64762502959241,3.64762502959241,"Tumor"
"TCGA-A7-A26I-01B-06R-A22O-07",5.70467385371065,4.60453300748513,13.752550684615,6.97732358455588,11.5754094729072,14.0272708938436,6.67647586350935,4.87230619517648,3.3071450089029,4.60453300748513,5.1842359717764,8.64536612593062,14.5836496179331,5.08895624970728,9.32709815406634,4.43965740578158,3.97202002058119,3.3071450089029,3.3071450089029,8.47351952247308,3.97202002058119,5.87734814568033,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,6.76504303145527,3.97202002058119,3.3071450089029,7.22557841990643,4.74658821550894,3.97202002058119,4.60453300748513,"Tumor"
"TCGA-A8-A096-01A-11R-A00Z-07",5.56080026938,3.3071450089029,11.6023099513065,5.40714200169916,11.3160322839294,14.9930574966215,7.0242395958499,3.3071450089029,3.3071450089029,7.72474848100596,3.3071450089029,3.79315081739962,16.0179256214382,4.42421219138604,7.04307579868477,3.99128724472367,3.3071450089029,3.3071450089029,3.79315081739962,3.3071450089029,6.11710450849981,7.18543466666852,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.99128724472367,3.3071450089029,3.3071450089029,6.31832992633035,3.90099531539215,3.3071450089029,3.3071450089029,"Tumor"
